80年底	1385165	246056	276878
81年底	1415546	251520	282643
82年底	1448186	256612	289054
83年底	1483955	260680	295825
84年底	1524127	271536	301287
85年底	1570456	283861	306473
86年底	1614471	294974	310723
87年底	1650984	304857	314017
88年底	1691292	316438	318649
89年底	1732617	328754	324931
90年底	1762963	338361	329913
91年底	1792603	347160	334683
92年底	1822075	357647	339586
93年底	1853029	368765	346144
94年底	1880316	377345	350981
95年底	1911161	384803	355707
96年底	1934968	391822	358656
97年底	1958686	397056	362129
98年底	1978782	401096	365109
99年底	2002060	406851	369770
100年底	2013305	410113	372429
101年底	2030161	413488	376217
102年底	2044023	415414	378918
103年底	2058328	417366	381449
104年底	2105780	427145	389782
105年底	2147763	434243	396453
106年底	2188017	440840	405216
107年底	2220872	447302	412063
108年底	2249037	452824	417380
109年底	2268807	457245	422471
110年底	2272391	458847	422529
111年底	2281464	462338	423722
